datetime,open,high,low,close,volume
2025-11-18 12:53:00,662.975,663.67,662.9,663.43,41643
2025-11-18 12:52:00,662.54,663.09,662.47,662.96,19317
2025-11-18 12:51:00,662.66,662.88,662.4,662.51,30588
2025-11-18 12:50:00,663.1,663.14,662.48,662.68,38784
2025-11-18 12:49:00,663.06,663.27,662.92,663.16,20289
2025-11-18 12:48:00,662.51,663.17,662.51,662.99,26946
2025-11-18 12:47:00,661.86,662.58,661.86,662.54,22362
2025-11-18 12:46:00,662.24,662.36,661.75,661.83,27078
2025-11-18 12:45:00,662.82,662.82,662.05,662.19,50646
2025-11-18 12:44:00,662.44,662.825,662.34,662.8,21771
2025-11-18 12:43:00,662.28,663.01,662.28,662.49,41703
2025-11-18 12:42:00,662.01,662.69,661.93,662.36,25818
2025-11-18 12:41:00,661.77,662.09,661.67,662.01,26142
2025-11-18 12:40:00,661.2,662.07,661.18,661.77,33609
2025-11-18 12:39:00,660.64,661.19,660.48,661.15,25563
2025-11-18 12:38:00,659.77,660.65,659.65,660.58,26808
2025-11-18 12:37:00,659.51,659.78,659.38,659.72,20271
2025-11-18 12:36:00,659.1,659.54,658.96,659.54,27990
2025-11-18 12:35:00,658.91,659.34,658.81,659.11,29346
2025-11-18 12:34:00,658.19,659.03,658,658.95,32616
2025-11-18 12:33:00,657.97,658.47,657.97,658.24,26547
2025-11-18 12:32:00,658.19,658.33,658,658.04,22626
2025-11-18 12:31:00,658.39,658.39,657.94,658.2,25104
2025-11-18 12:30:00,658.6,658.64,658.35,658.36,24948
2025-11-18 12:29:00,658.71,658.85,658.59,658.61,16599
2025-11-18 12:28:00,658.8,658.99,658.57,658.61,26421
2025-11-18 12:27:00,659.9,659.92,658.81,658.83,30717
2025-11-18 12:26:00,660.03,660.03,659.62,659.88,14658
2025-11-18 12:25:00,659.77,660.15,659.77,659.97,15507
2025-11-18 12:24:00,659.88,659.97,659.69,659.76,11508
2025-11-18 12:23:00,659.87,660.13,659.77,659.86,16968
2025-11-18 12:22:00,660.59,660.61,659.79,659.84,25320
2025-11-18 12:21:00,660.59,660.89,660.46,660.55,20784
2025-11-18 12:20:00,660.07,660.68,660.07,660.62,27849
2025-11-18 12:19:00,660.06,660.14,659.81,660,9531
2025-11-18 12:18:00,659.74,660.39,659.74,659.94,31245
2025-11-18 12:17:00,660.35,660.36,659.58,659.77,26634
2025-11-18 12:16:00,660.36,660.61,660.07,660.34,27456
2025-11-18 12:15:00,659.92,660.59,659.89,660.33,28776
2025-11-18 12:14:00,660.86,660.86,659.88,659.93,17724
2025-11-18 12:13:00,660.8,661.01,660.76,660.93,12150
